gene_id,SRR10720198,SRR10720199,SRR10720203,SRR10720205
gene-YBR112C,17162,17424,19703,16067
gene-YBR114W,1034,937,1142,892
gene-YBR115C,0,1,0,0
gene-YBR117C,22,22,11,16
gene-YBR118W,1971,1431,2304,2257
gene-YBR119W,532,450,561,557
gene-YBR120C,595,534,436,459
gene-YBR121C,2246,2006,2234,1890
gene-YBR122C,1322,1322,1335,1308
gene-YBR123C,1345,1633,1344,1177
gene-YBR125C,564,510,608,566
gene-YBR126C,4735,5549,4642,4363
gene-YBR126W-A,208,134,181,174
gene-YBR127C,2424,2614,2427,2094
gene-YBR128C,202,210,200,232
gene-YBR129C,379,387,439,381
gene-YBR130C,1969,1934,2229,2159
gene-YBR131W,1124,1016,1238,1098
gene-YBR132C,1691,1918,2506,2041
gene-YBR133C,1082,1029,1316,1308
gene-YBR135W,660,530,592,555
gene-YBR136W,1143,1177,1135,1143
gene-YBR137W,88,132,105,92
gene-YBR138C,1012,1018,1028,934
gene-YBR139W,1107,1228,1241,1173
gene-YBR140C,5759,5715,6822,5846
gene-YBR141C,296,274,203,176
gene-YBR142W,1067,873,765,780
gene-YBR143C,5178,5573,5589,5366
gene-YBR144C,18,24,16,13
gene-YBR145W,679,678,289,349
gene-YBR146W,1544,1378,1430,1411
gene-YBR147W,74,57,35,41
gene-YBR148W,155,154,111,99
gene-YBR149W,1233,1077,1233,1297
gene-YBR150C,978,1066,1289,1142
gene-YBR151W,2479,2609,2875,2524
gene-YBR152W,1017,967,915,820
gene-YBR153W,520,432,531,485
gene-YBR154C,2924,2383,2301,2450
gene-YBR155W,855,725,881,836
gene-YBR156C,1059,1011,1117,971
gene-YBR157C,621,605,536,498
gene-YBR158W,3543,3445,3502,2868
gene-YBR159W,378,324,412,432
gene-YBR160W,772,773,893,784
gene-YBR161W,371,358,454,407
gene-YBR162C,1675,1737,1941,1717
gene-YBR162W-A,1643,1390,1433,1415
gene-YBR163W,552,619,496,478
gene-YBR164C,616,538,556,580
gene-YBR165W,571,539,585,546
gene-YBR166C,714,577,671,649
gene-YBR167C,157,172,127,133
gene-YBR168W,309,278,341,258
gene-YBR169C,641,618,1302,1010
gene-YBR170C,1530,1823,1954,1784
gene-YBR171W,713,767,769,711
gene-YBR172C,4286,4173,4335,3662
gene-YBR173C,2674,2621,3075,2768
gene-YBR175W,676,675,701,763
gene-YBR176W,215,260,228,235
gene-YBR177C,2760,2566,2210,1985
gene-YBR179C,2959,2963,3262,2797
gene-YBR180W,6,7,17,3
gene-YBR181C,708,720,736,744
gene-YBR182C,54,61,65,60
gene-YBR182C-A,4,2,0,2
gene-YBR183W,168,184,164,143
gene-YBR184W,196,145,218,205
gene-YBR185C,273,236,255,259
gene-YBR186W,21,11,14,12
gene-YBR187W,223,521,267,276
gene-YBR188C,230,224,243,248
gene-YBR189W,2061,2196,2274,2174
gene-YBR191W,852,732,875,898
gene-YBR192W,625,728,710,613
gene-YBR193C,356,277,301,242
gene-YBR194W,192,168,135,150
gene-YBR195C,500,454,359,349
gene-YBR196C,4465,4877,5063,4515
gene-YBR196C-A,2,0,1,0
gene-YBR196C-B,13,5,3,9
gene-YBR197C,633,591,476,461
gene-YBR198C,6769,7459,7886,6574
gene-YBR199W,2961,2689,3201,3058
